Agency Sponsor,Title,Short Description,Start Date/Time,End Date/Time,State,Details,Contact Name,Phone,Contact Email,Web Link,Calendar Link,Map Location,City,Audience Type,Registration Deadline
Governor's Office,Governor's Marketplace - Ontario ,Connect to Public Contracting & Business Resources at Governor's Marketplace,04/09/2018 07:30:00 AM,04/09/2018 01:00:00 PM,Oregon,"The Office of Diversity, Equity and Inclusion/Affirmative Action for Governor Kate Brown is delighted to announce this edition of the Governor’s Marketplace to support Oregon small businesses.

We have partnered with the Secretary of State, Department of Administrative Services and the Certification Office for Business Inclusion and Diversity, to bring opportunities for businesses to meet directly with procurement professionals from state, federal, private and non-profit organizations who will share tips, tools, resources and strategies to aid in business growth, more successfully navigate contracting processes and nurture ongoing relationships.

A warm thank you to Treasure Valley Community College, Small Business Development Center for hosting our day. Also, a thank you to our sponsors who bring this edition at no cost to you!

All businesses within the state of Oregon are welcome. These events are held in different parts of the state solely to make the resources available to all. 
",Eloisa Miller,,eloisa.miller@oregon.gov,Eventbrite registration (https://www.eventbrite.com/e/connect-to-public-contracting-business-resources-at-governors-marketplace-southeast-oregon-edition-tickets-43906548669#tickets),,, Ontario,,
Governor's Office,Governor's Marketplace,Connect to Public Contracting & Business Resources at Governor's Marketplace,04/10/2018 07:30:00 AM,03/10/2018 01:00:00 PM,Oregon,"2018 Governor’s Marketplace | Northeast Oregon Edition (Union, Grant, Morrow, Wheeler Counties)

The Office of Diversity, Equity and Inclusion/Affirmative Action for Governor Kate Brown is delighted to announce this edition of the Governor’s Marketplace to support Oregon small businesses.

We have partnered with the Secretary of State, Department of Administrative Services and the Certification Office for Business Inclusion and Diversity, to bring opportunities for businesses to meet directly with procurement professionals from state, federal, private and non-profit organizations who will share tips, tools, resources and strategies to aid in business growth, more successfully navigate contracting processes and nurture ongoing relationships.

A warm thank you to Eastern Oregon University, Small Business Development Center for hosting our day. Also, a thank you to our sponsors who bring this edition at no cost to you!

All businesses within the state of Oregon are welcome. These events are held in different parts of the state solely to make the resources available to all. 

NEW! Earn CE Credits. Through our partnership with CCB, Contractors can now earn up to 4 CE credits for attending this event. If you only attend certain portions, your earned CE credits will reflect the hours of participation. ",Eloisa Miller,,eloisa.miller@oregon.gov,Eventbrite Registration (https://www.eventbrite.com/e/connect-to-public-contracting-business-resources-at-governors-marketplace-northeast-oregon-edition-tickets-43905201640#),,, La Grande,,
Governor's Office,Governor's Marketplace,Connect to Public Contracting & Business Resources at Governor's Marketplace,04/11/2018 07:30:00 AM,04/11/2018 01:00:00 AM,,"2018 Governor’s Marketplace | Northeast Oregon Edition (Baker, Umatilla, Wallowa Counties)

Date: April 11, 2018

Time: 7:30am to 1:00pm (Check in begins at 7:00am)

Location: Blue Mountain Community College, Morrow Hall Room M-100, 2411 NW Carden Avenue, Pendleton OR 97801

NEW! Earn CE Credits. Through our partnership with CCB, Contractors can now earn up to 4 CE credits for attending this event. If you only attend certain portions, your earned CE credits will reflect the hours of participation. 

The Office of Diversity, Equity and Inclusion/Affirmative Action for Governor Kate Brown is delighted to announce this edition of the Governor’s Marketplace to support Oregon small businesses.

We have partnered with the Secretary of State, Department of Administrative Services and the Certification Office for Business Inclusion and Diversity, to bring opportunities for businesses to meet directly with procurement professionals from state, federal, private and non-profit organizations who will share tips, tools, resources and strategies to aid in business growth, more successfully navigate contracting processes and nurture ongoing relationships.

A warm thank you to Blue Mountain Community College, Small Business Development Center for hosting our day. Also, a thank you to our sponsors who bring this edition at no cost to you!

All businesses within the state of Oregon are welcome. These events are held in different parts of the state solely to make the resources available to all. 

NEW! Earn CE Credits. Through our partnership with CCB, Contractors can now earn up to 4 CE credits for attending this event. If you only attend certain portions, your earned CE credits will reflect the hours of participation.",Eloisa Miller,,eloisa.miller@oregon.gov,Eventbrite Registration (https://www.eventbrite.com/e/connect-to-public-contracting-business-resources-at-governors-marketplace-northeast-oregon-edition-tickets-43894825605#),,"2411 NW Carden Avenue
Pendleton, Or 97801", Pendleton,Small Businesses,
Governor's Office,Governor's Marketplace,Connect to Public Contracting & Business Resources at Governor's Marketplace,04/12/2018 07:30:00 AM,04/12/2018 01:00:00 AM,,"2018 Governor’s Marketplace | Northeast Oregon Edition (Boardman, Port of Morrow)

The Office of Diversity, Equity and Inclusion/Affirmative Action for Governor Kate Brown is delighted to announce this edition of the Governor’s Marketplace to support Oregon small businesses.

We have partnered with the Secretary of State, Department of Administrative Services and the Certification Office for Business Inclusion and Diversity, to bring opportunities for businesses to meet directly with procurement professionals from state, federal, private and non-profit organizations who will share tips, tools, resources and strategies to aid in business growth, more successfully navigate contracting processes and nurture ongoing relationships.

A warm thank you to Blue Mountain CC, Workforce Training Center for hosting our day. Also, a thank you to our sponsors who bring this edition at no cost to you!

All businesses within the state of Oregon are welcome. These events are held in different parts of the state solely to make the resources available to all. 

Date: April 12, 2018

Time: 7:30am to 1:00pm (Check in begins at 7:00am)

UPDATE on Location: Blue Mountain Community College, Workforce Training Center, 251 Olson Rd., Boardman OR 97818

NEW! Earn CE Credits. Through our partnership with CCB, Contractors can now earn up to 4 CE credits for attending this event. If you only attend certain portions, your earned CE credits will reflect the hours of participation.
",Eloisa Miller,,eloisa.miller@oregon.gov,Eventbrite Registration (https://www.eventbrite.com/e/connect-to-public-contracting-business-resources-at-governors-marketplace-northeast-oregon-edition-tickets-44620103932#),,"251 Olson Rd
Boardman, Or 97818", Boardman,Small Businesses,
Governor's Office,Governor's Marketplace,Connect to Public Contracting & Business Resources at Governor's Marketplace,04/23/2018 07:30:00 AM,04/23/2018 01:00:00 AM,Oregon,"2018 Governor’s Marketplace | Portland Metro Area Edition (Clackamas County)

The Office of Diversity, Equity and Inclusion/Affirmative Action for Governor Kate Brown is delighted to announce this edition of the Governor’s Marketplace to support Oregon small businesses.

We have partnered with the Secretary of State, Department of Administrative Services and the Certification Office for Business Inclusion and Diversity, to bring opportunities for businesses to meet directly with procurement professionals from state, federal, private and non-profit organizations who will share tips, tools, resources and strategies to aid in business growth, more successfully navigate contracting processes and nurture ongoing relationships.

A warm thank you to Clackamas Community College, Small Business Development Center for hosting our day. Also, a thank you to our sponsors who bring this edition at no cost to you!

All businesses within the state of Oregon are welcome. These events are held in different parts of the state solely to make the resources available to all. 

Date: April 23, 2018

Time: 7:30am to 3:00pm (Check in begins at 7:00am)

Location: Clackamas Community College, 7726 SE Harmony Rd., Milwaukie OR 97222 (Harmony West Building)

NEW! Earn CE Credits. Through our partnership with CCB, Contractors can now earn up to 4 CE credits for attending this event. If you only attend certain portions, your earned CE credits will reflect the hours of participation. 

***PLEASE NOTE: NEW AGENDA TO INCLUDE AN ADDITIONAL SESSION AND EXTENDED HOURS TO 3PM.*** 
",Eloisa Miller,,eloisa.miller@oregon.gov,Eventbrite Registration (https://www.eventbrite.com/e/connect-to-public-contracting-business-resources-at-governors-marketplace-portland-metro-area-tickets-44686951876),,"77726 SE Harmony Road
Milwaukie, Or 97222", Milwaukie,,
Secretary of State,Baker City  basics notary public seminar,Free training to become a notary,06/07/2018 09:00:00 AM,06/07/2018 12:00:00 PM,Oregon,"Brush up your notary knowledge and get the answers to your questions by attending a seminar for current and future notaries public. This seminar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. What's more, this is your chance to talk to the state agency that regulates notaries, and participate in lively discussions about procedures, practices, and notary law. ",,,,http://notsem.sos.state.or.us,,,,,
Secretary of State,Forest Grove basics notary public seminar,Free training to become a notary,08/02/2018 01:00:00 PM,08/02/2018 04:00:00 PM,Oregon,"Brush up your notary knowledge and get the answers to your questions by attending a seminar for current and future notaries public. This seminar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. What's more, this is your chance to talk to the state agency that regulates notaries, and participate in lively discussions about procedures, practices, and notary law.",,,,http://notsem.sos.state.or.us,,,,,
Governor's Office,Governor's Marketplace,Connect to Public Contracting & Business Resources at Governor's Marketplace,04/25/2018 07:30:00 AM,04/25/2018 01:00:00 AM,,"2018 Governor’s Marketplace | Portland Metro Area Edition (East Multnomah)

The Office of Diversity, Equity and Inclusion/Affirmative Action for Governor Kate Brown is delighted to announce this edition of the Governor’s Marketplace to support Oregon small businesses.

We have partnered with the Secretary of State, Department of Administrative Services and the Certification Office for Business Inclusion and Diversity, to bring opportunities for businesses to meet directly with procurement professionals from state, federal, private and non-profit organizations who will share tips, tools, resources and strategies to aid in business growth, more successfully navigate contracting processes and nurture ongoing relationships.

A warm thank you to Mt. Hood Community College SBDC for hosting our day. Also, a thank you to our sponsors who bring this edition at no cost to you!

All businesses within the state of Oregon are welcome. These events are held in different parts of the state solely to make the resources available to all. 

Date: April 25, 2018

Time: 7:30am to 1:00pm (Check in begins at 7:00am)

Location: Mt. Hood Community College, 26000 SE Stark Street, Gresham OR 97030

NEW! Earn CE Credits. Through our partnership with CCB, Contractors can now earn up to 4 CE credits for attending this event. If you only attend certain portions, your earned CE credits will reflect the hours of participation. 
",Eloisa Miller,,eloisa.miller@oregon.gov,Eventbrite Registration (https://www.eventbrite.com/e/connect-to-public-contracting-business-resources-at-governors-marketplace-portland-metro-area-tickets-44682074287),,"26000 SE Stark
Gresham, OR 97030", Gresham,,
Secretary of State,Central Point advanced notary public seminar,Free advanced training for current notaries ONLY,05/17/2018 01:00:00 PM,05/17/2018 04:00:00 PM,Oregon,"Advanced notary public seminars are appropriate for those who are experienced, commissioned notaries. They do not meet the training qualifications for a notary application and will not help you to pass the exam. These advanced classes discuss employee notary issues, notario and elder abuse fraud, difficult certificates, and journaling witnesses, among other topics.",,,,http://notsem.sos.state.or.us,,,,,
Governor's Office,Governor's Marketplace,Connect to Public Contracting & Business Resources at Governor's Marketplace,05/22/2018 12:00:00 AM,05/22/2018 12:00:00 AM,Oregon,"2018 Governor’s Marketplace | Southern Oregon Edition (Curry County)

The Office of Diversity, Equity and Inclusion/Affirmative Action for Governor Kate Brown is delighted to announce this edition of the Governor’s Marketplace to support Oregon small businesses.

We have partnered with the Secretary of State, Department of Administrative Services and the Certification Office for Business Inclusion and Diversity, to bring opportunities for businesses to meet directly with procurement professionals from state, federal, private and non-profit organizations who will share tips, tools, resources and strategies to aid in business growth, more successfully navigate contracting processes and nurture ongoing relationships.

A warm thank you to Blue Mountain Community College, Small Business Development Center for hosting our day. Also, a thank you to our sponsors who bring this edition at no cost to you!

All businesses within the state of Oregon are welcome. These events are held in different parts of the state solely to make the resources available to all.

Location To Be Determined",Eloisa Miller,,eloisa.miller@oregon.gov,,,TBD,,Small Businesses,
Governor's Office,Governor's Marketplace,Connect to Public Contracting & Business Resources at Governor's Marketplace,05/23/2018 07:30:00 AM,05/23/2018 01:00:00 AM,Oregon,"2018 Governor’s Marketplace | Southern Oregon Edition (Josephine County)

The Office of Diversity, Equity and Inclusion/Affirmative Action for Governor Kate Brown is delighted to announce this edition of the Governor’s Marketplace to support Oregon small businesses.

We have partnered with the Secretary of State, Department of Administrative Services and the Certification Office for Business Inclusion and Diversity, to bring opportunities for businesses to meet directly with procurement professionals from state, federal, private and non-profit organizations who will share tips, tools, resources and strategies to aid in business growth, more successfully navigate contracting processes and nurture ongoing relationships.

A warm thank you to Oregon SBDC and Taprock Events Center for hosting our day. Also, a thank you to our sponsors who bring this edition at no cost to you!

All businesses within the state of Oregon are welcome. These events are held in different parts of the state solely to make the resources available to all. 





Date: May 23, 2018

Time: 7:30am to 1:00pm (Check in begins at 7:00am)

Location: Taprock Events Center - 940 SE 7th Street, Grants Pass OR 97526

NEW! Earn CE Credits. Through our partnership with CCB, Contractors can now earn up to 4 CE credits for attending this event. If you only attend certain portions, your earned CE credits will reflect the hours of participation. 
",Eloisa Miller,,eloisa.miller@oregon.gov,Eventbrite Registration (https://www.eventbrite.com/e/connect-to-public-contracting-business-resources-at-governors-marketplace-southern-oregon-edition-tickets-44656590063),,"940 SE 7th Street
Grants Pass, OR 97526", Grants Pass,,
Secretary of State,Pendleton basics notary public seminar,Free training to become a notary,05/23/2018 09:00:00 AM,05/23/2018 12:00:00 PM,Oregon,"Brush up your notary knowledge and get the answers to your questions by attending a seminar for current and future notaries public. This seminar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. What's more, this is your chance to talk to the state agency that regulates notaries, and participate in lively discussions about procedures, practices, and notary law. ",,,,http://notsem.sos.state.or.us,,,,,
Secretary of State,Ontario advanced notary public seminar,Free advanced training for current notaries ONLY,05/24/2018 09:00:00 AM,05/24/2018 12:00:00 PM,Oregon,"Advanced notary public seminars are appropriate for those who are experienced, commissioned notaries. They do not meet the training qualifications for a notary application and will not help you to pass the exam. These advanced classes discuss employee notary issues, notario and elder abuse fraud, difficult certificates, and journaling witnesses, among other topics.",,,,http://notsem.sos.state.or.us,,,,,
Governor's Office,Governor's Marketplace,Connect to Public Contracting & Business Resources at Governor's Marketplace,06/11/2018 07:30:00 AM,06/11/2018 01:00:00 AM,,"2018 Governor’s Marketplace | Southcoast Edtion (Western Douglas, Coos & Curry Counties)

The Office of Diversity, Equity and Inclusion/Affirmative Action for Governor Kate Brown is delighted to announce this edition of the Governor’s Marketplace to support Oregon small businesses.

We have partnered with the Secretary of State, Department of Administrative Services and the Certification Office for Business Inclusion and Diversity, to bring opportunities for businesses to meet directly with procurement professionals from state, federal, private and non-profit organizations who will share tips, tools, resources and strategies to aid in business growth, more successfully navigate contracting processes and nurture ongoing relationships.

A warm thank you to Oregon SBDC and The Mill Casino for hosting our day. Also, a thank you to our sponsors who bring this edition at no cost to you!

All businesses within the state of Oregon are welcome. These events are held in different parts of the state solely to make the resources available to all. 





Date: June 11, 2018

Time: 7:30am to 1:00pm (Check in begins at 7:00am)

Location: The Mill Casino, 3201 Tremont Street, Northbend OR 97459

NEW! Earn CE Credits. Through our partnership with CCB, Contractors can now earn up to 4 CE credits for attending this event. If you only attend certain portions, your earned CE credits will reflect the hours of participation. 
",Eloisa Miller,,eloisa.miller@oregon.gov,Eventbrite Registration (https://www.eventbrite.com/e/connect-to-public-contracting-business-resources-at-governors-marketplace-southcoast-edition-tickets-44685776360),,"3201 Tremont Street
Northbend, OR 97459", North Bend,,
Governor's Office,Governor's Marketplace,Connect to Public Contracting & Business Resources at Governor's Marketplace,06/12/2018 07:30:00 AM,06/12/2018 01:00:00 AM,,"All businesses within the state of Oregon are welcome. These events are held in different parts of the state solely to make the resources available to all.





Date: June 12, 2018

Time: 7:30am to 1:00pm (Check in begins at 7:00am)

Location: Clatsop Community College (Columbia Hall, Room 219), 1651 Lexington Avenue, Astoria OR 97103

NEW! Earn CE Credits. Through our partnership with CCB, Contractors can now earn up to 4 CE credits for attending this event. If you only attend certain portions, your earned CE credits will reflect the hours of participation.",Eloisa Miller,,eloisa.miller@oregon.gov,Eventbrite Registration (https://www.eventbrite.com/e/connect-to-public-contracting-business-resources-at-governors-marketplace-northcoast-edition-tickets-44690444322?aff=es2),,"1651 Lexington Ave
Astoria, OR 97103", Astoria,Small Businesses,
Secretary of State,Milwaukie basics notary public seminar,Free training to become a notary,06/12/2018 09:00:00 AM,06/12/2018 12:00:00 PM,Oregon,"Brush up your notary knowledge and get the answers to your questions by attending a seminar for current and future notaries public. This seminar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. What's more, this is your chance to talk to the state agency that regulates notaries, and participate in lively discussions about procedures, practices, and notary law.",,,,http://notsem.sos.state.or.us,,,,,
Secretary of State,Milwaukie advanced notary public seminar,Free advanced training for current notaries ONLY,06/12/2018 01:00:00 PM,06/12/2018 04:00:00 PM,Oregon,"Advanced notary public seminars are appropriate for those who are experienced, commissioned notaries. They do not meet the training qualifications for a notary application and will not help you to pass the exam. These advanced classes discuss employee notary issues, notario and elder abuse fraud, difficult certificates, and journaling witnesses, among other topics.",,,,http://notsem.sos.state.or.us,,,,,
Governor's Office,Governor's Marketplace,Connect to Public Contracting & Business Resources at Governor's Marketplace,06/13/2018 07:30:00 AM,06/13/2018 01:00:00 PM,OR,"The Office of Diversity, Equity and Inclusion/Affirmative Action for Governor Kate Brown is delighted to announce this edition of the Governor’s Marketplace to support Oregon small businesses.

Date: June 13, 2018

Time: 7:30am to 1:00pm (Check in begins at 7:00am)

Location: Tillamook Bay Community College, Partners for Rural Innovation Center, 4506 Third Street, Tillamook OR 97141

NEW! Earn CE Credits. Through our partnership with CCB, Contractors can now earn up to 4 CE credits for attending this event. If you only attend certain portions, your earned CE credits will reflect the hours of participation. 
",Eloisa Miller,,eloisa.miller@oregon.gov,Eventbrite Registration (https://www.eventbrite.com/e/connect-to-public-contracting-business-resources-at-governors-marketplace-northcoast-edition-tickets-44687259797),,"4506 Third Street
Tillamook, OR 97141", Tillamook,,
Secretary of State,Hood River basics notary public seminar,Free training to become a notary,06/13/2018 09:00:00 AM,06/13/2018 12:00:00 PM,Oregon,"Brush up your notary knowledge and get the answers to your questions by attending a seminar for current and future notaries public. This seminar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. What's more, this is your chance to talk to the state agency that regulates notaries, and participate in lively discussions about procedures, practices, and notary law. ",,,,http://notsem.sos.state.or.us,,,,,
Secretary of State,Pendleton advanced notary public seminar,Free advanced training for current notaries ONLY,08/14/2018 09:00:00 AM,08/14/2018 12:00:00 PM,Oregon,"Advanced notary public seminars are appropriate for those who are experienced, commissioned notaries. They do not meet the training qualifications for a notary application and will not help you to pass the exam. These advanced classes discuss employee notary issues, notario and elder abuse fraud, difficult certificates, and journaling witnesses, among other topics.",,,,http://notsem.sos.state.or.us,,,,,
Secretary of State,Ontario basics notary public seminar,Free training to become a notary,08/15/2018 09:00:00 AM,08/15/2018 12:00:00 PM,Oregon,"Brush up your notary knowledge and get the answers to your questions by attending a seminar for current and future notaries public. This seminar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. What's more, this is your chance to talk to the state agency that regulates notaries, and participate in lively discussions about procedures, practices, and notary law.",,,,http://notsem.sos.state.or.us,,,,,
Governor's Office,Governor's Marketplace,Connect to Public Contracting & Business Resources at Governor's Marketplace,06/14/2018 07:30:00 AM,06/14/2018 01:00:00 PM,OR,"2018 Governor’s Marketplace | Northcoast Edition (Tillamook County)

We have partnered with the Secretary of State, Department of Administrative Services and the Certification Office for Business Inclusion and Diversity, to bring opportunities for businesses to meet directly with procurement professionals from state, federal, private and non-profit organizations who will share tips, tools, resources and strategies to aid in business growth, more successfully navigate contracting processes and nurture ongoing relationships.

Date: June 14, 2018

Time: 7:30am to 1:00pm (Check in begins at 7:00am)

Location: Oregon Coast Community College, 400 SE College Way, Newport OR 97366

NEW! Earn CE Credits. Through our partnership with CCB, Contractors can now earn up to 4 CE credits for attending this event. If you only attend certain portions, your earned CE credits will reflect the hours of participation. 
",Eloisa Miller,,eloisa.miller@oregon.gov,Eventbrite Registration (https://www.eventbrite.com/e/connect-to-public-contracting-business-resources-at-governors-marketplace-northcoast-edition-tickets-44689494481),,"400 SE College Way
Newport, OR 97366", Newport,,
Secretary of State,Canby advanced notary public seminar,Free advanced training for current notaries ONLY,06/14/2018 09:00:00 AM,06/14/2018 12:00:00 PM,Oregon,"Advanced notary public seminars are appropriate for those who are experienced, commissioned notaries. They do not meet the training qualifications for a notary application and will not help you to pass the exam. These advanced classes discuss employee notary issues, notario and elder abuse fraud, difficult certificates, and journaling witnesses, among other topics.",,,,http://notsem.sos.state.or.us,,,,,
Secretary of State,Forest Grove advanced notary public seminar,Free advanced training for current notaries ONLY,06/19/2018 09:00:00 AM,06/19/2018 12:00:00 PM,Oregon,"Advanced notary public seminars are appropriate for those who are experienced, commissioned notaries. They do not meet the training qualifications for a notary application and will not help you to pass the exam. These advanced classes discuss employee notary issues, notario and elder abuse fraud, difficult certificates, and journaling witnesses, among other topics.",,,,http://notsem.sos.state.or.us,,,,,
Secretary of State,Monmouth advanced notary public seminar,Free advanced training for current notaries ONLY,06/21/2018 09:00:00 AM,06/21/2018 12:00:00 PM,Oregon,"Advanced notary public seminars are appropriate for those who are experienced, commissioned notaries. They do not meet the training qualifications for a notary application and will not help you to pass the exam. These advanced classes discuss employee notary issues, notario and elder abuse fraud, difficult certificates, and journaling witnesses, among other topics.",,,,http://notsem.sos.state.or.us,,,,,
Secretary of State,Burns advanced notary public seminar,Free advanced training for current notaries ONLY,06/26/2018 09:00:00 AM,06/26/2018 12:00:00 PM,Oregon,"Advanced notary public seminars are appropriate for those who are experienced, commissioned notaries. They do not meet the training qualifications for a notary application and will not help you to pass the exam. These advanced classes discuss employee notary issues, notario and elder abuse fraud, difficult certificates, and journaling witnesses, among other topics.",,,,http://notsem.sos.state.or.us,,,,,
Secretary of State,The Dalles advanced notary public seminar,Free advanced training for current notaries ONLY,06/28/2018 09:00:00 AM,06/28/2018 12:00:00 PM,Oregon,"Advanced notary public seminars are appropriate for those who are experienced, commissioned notaries. They do not meet the training qualifications for a notary application and will not help you to pass the exam. These advanced classes discuss employee notary issues, notario and elder abuse fraud, difficult certificates, and journaling witnesses, among other topics.",,,,http://notsem.sos.state.or.us,,,,,
Secretary of State,Eugene basics notary seminar,Free training to become a notary,07/11/2018 09:00:00 AM,07/11/2018 12:00:00 PM,Oregon,"Brush up your notary knowledge and get the answers to your questions by attending a seminar for current and future notaries public. This seminar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. What's more, this is your chance to talk to the state agency that regulates notaries, and participate in lively discussions about procedures, practices, and notary law.",,,,http://notsem.sos.state.or.us,,,,,
Secretary of State,Portland advanced notary public seminar,Free advanced training for current notaries ONLY,07/25/2018 09:00:00 AM,07/25/2018 12:00:00 PM,Oregon,"Advanced notary public seminars are appropriate for those who are experienced, commissioned notaries. They do not meet the training qualifications for a notary application and will not help you to pass the exam. These advanced classes discuss employee notary issues, notario and elder abuse fraud, difficult certificates, and journaling witnesses, among other topics.",,,,http://notsem.sos.state.or.us,,,,,
